用户名,评分,游戏时长,评论
﻿6547536@Social,3E+00,2分钟,刚刚都八级了正在十连抽，还没一个一个点完就掉了，一上线回档回到了三级，这个服务器令人堪忧啊，一直掉线体验极差
﻿手机用户8722273,2E+00,20分钟,不知道是不是模型的关系，总感觉玩法没什么意思，进去随便看了下，就删游戏了
﻿Harmony,1E+00,1小时6分钟,什么游戏啊，引导剧情都能卡关。能不能走点心？我就问问开发者，游戏开始需要三个人，你们这引导剧情就给两个角色这怎么开始啊？
﻿理想只是想,1E+00,6小时26分钟,抽了六十次都是一sr一r，我以为是我的问题，一看，大部分人都是，但是都氪金了，怎么办，扔了也不是，玩也不是，现在很难受
﻿柒,5E+00,5小时10分钟,玩了一天了，虽然说今天开服有些小插曲，但我觉得不影响这是一个好游戏的事实。这是我第一次玩女性向类别游戏，感觉还蛮好玩的，体力被掏空了一遍又一遍了，给个5星吧，算是支持一下，嘿嘿。
﻿樹,2E+00,,。因为画风喜欢，所以没顾着评论，一意孤行要玩它。结果官方晚上维护之后打开一看。吞了我两个ssr。我也不懂为啥。武士里没有。缘之卷里有，温泉里也有。官方你还好吗？？
﻿✪xiao夏✪,5E+00,,"给5星主要是这样的，刚玩目前2级过了几个剧情，领了各种礼包上线一波抽奖10连一个ssr，10连又一个ssr，然后活动给的命运卡又一ssr，然后维护送的20连，前10非了，后10连一个ur，嗯0氪，你们怎么看，刚玩2级还有送的免费可以在抽个10连，要不要试试呀，总结了下10连ssr，20连出ur，估计等会10次，单发sr,2发ssr,5发3个ur嗯不说了抽卡去"
﻿逍遥参商,1E+00,,测试的时候游戏不是做的挺好的么，现在公测怎么回事，给了两个武士就让我去打剧情，剧情副本没三个人不能打，玩家又不能脱离新手教程去抽卡凑够三个人，其他的地方我都体验不了，单这一条就把人卡的死死的，我还重启了好几次，根本没有。你说说，我连游戏都进不去，这玩个蛋。
﻿我命阿凡。,4E+00,36分钟,大致玩了一会儿。个人感觉甚至比不上内测，爆率也是低的吓人。点开看到评分4.8一开始还在疑惑，现在大致懂了。4星算是送给内测了。
﻿阳光,4E+00,,画风吼吼看 但是目前除了画风感觉没有吸引我的地方和CQ好像 真的好像……期待新的玩法 持续观望另外剧情有l2d为什么主页好像没有！我要看男人们动啊！好的原来要完成任务 我这就去解锁动男人新手教程长且几乎都是剧情，对于每个角色的定位也没有介绍 那我就慢慢摸索吧
﻿远坂凛orz,5E+00,,拉一拉评分先支持一波，其实游戏不错 ，从开服到现在的话 我还没有遇见什么问题，就是池子的掉率有点低了，，我保底最后一抽才来ssr，然后又氪了抽到我有点怀疑人生233不过抽到了喜欢的角色，我属于那种很肝的氪的全用来买体力了，升级的话给点体力就更好了 我是微信的2333
﻿Otelly,2E+00,,…你们的ssr相当于别人的sr  掉率还这么低…看了好多评论十连一sr九r也太多了（包括我）还有就是  女性向包括乙女向腐向等等……  乙女向说白了就是谈恋爱为主的  你说这个不是乙女向是女性向？？？我？？？真的不懂官方在说什么
﻿38906970@Social,2E+00,2小时2分钟,卡在新手教程一动不动，将近一个小时，你说这游戏玩起来还有什么意思
﻿真TM神坑,5E+00,5小时46分钟,我也是醉了，10连看见出了2个黄，结果显示只有一个黄，还退了2个抽奖的日之铃！我都准备好了10个铃铛10连少了人物还退了铃铛，不知道是我眼瞎还是干嘛！我进去把你退的2个铃铛单抽2个黄，我也是醉了。这到底什么骚操作，。
﻿全员——快乐,4E+00,7小时7分钟,角色回到1级 充的礼包几乎全没了 角色也都没了态度还算有药可救 回一个星吧维护延时2h再加一星，虽然20连没ssr，礼包和角色还都没有回来继续加油吧
﻿秋默笙,3E+00,5小时20分钟,在？？我的任务已经完成25个了，为什么底下显示16个？？？
﻿村口王半仙。,3E+00,,新游有bug我能理解都是把我账号数据卡没了是怎么回事？？？？又是闪退又是卡的好不容易才玩完新手emmmm三星观望（现在的新游都这么难搞的吗不过开测评分这么低，后期很难提高了官方长点心叭。。。现在已经玩了两个多小时了挺好的游戏，希望能好好的叭
﻿柒柒,1E+00,,我玩个锤子我玩，回档我两次了？？？？？你游戏有毒吧？礼包各种都拿了，推图也推了些，掉了上线又回档，第三次了？？？我真的服气了，又没了！！！又没了！！！！又重头来！！！！新手指导还不能跳过又要一遍！！！卸载了！！！我一星都不想给，不能给负分是tap对你们这样的游戏最大的温柔！！！！！！
﻿鷇梦余音,4E+00,,玩下来现在25级，其实感觉还行吧，ssr就算不氪也能拿到（指芭蕉さん），也挺好用的...我觉得掉率这种东西就真的很悬吧，也不过多评价了。要是没开服的那堆破事绝对起码有个7～8分，可惜了
﻿川赤子,5E+00,,蛮少评分的…但是看着执剑之刻分掉太快了真的不好受，因为预约好久了…官方也有修改内测出现的问题，比如太氪的问题之类的，还有一些比较小的问题。比如女主歪头啊【觉得这个其实并没什么，但是官方还是改了】，之类的，也有在修改，还有公测的时候其实算起来是送了三张ssr外加预抽卡的一张ssr或者说是ur的，也可以看出来官方真的蛮有心的…毕竟大多数游戏并不会给你这样的开局，而且不算氪金的，只是肝肝的话，加上TapTap与bilibili预约上的奖励和过图吧，也能抽个五十连左右了，还算蛮良心的。然后概率问题吧，召唤详情不是清清楚楚写着，ur概率为1%，ssr概率为4%，这样的概率还指望把把十连都ssr及以上吗，百连没有ur…实际上就和隔壁fgo百连没有五星差不多吧…其实觉得倒不如说这个才是正常概率。ui…我觉得ui做的其实比上半年那次内测做的好看了一点，古朴典雅还有点朦胧的感觉吧，其实看着总体来说挺舒服的，羁绊从分支变成了点绘马也挺有趣的，还有召唤的动画变成了拔刀，这点我觉得除了流畅程度不够以外，其实也做的很不错，毕竟不能让鬼丸公主的刀只在剧情和立绘里出现嘛。胖子又不是一口气吃出来的，不可能开服第一天全ur吧，慢节奏的玩其实还挺舒服的希望官方尽快修复好掉线，bug频出和回档的问题吧，毕竟真的还不好受……就这样吧【最后希望能再出更多的芭蕉，毕竟才一张sr一张ssr完全不够w】
﻿意涵.,3E+00,,肝了一下午 好不容易欧 全给回了 本来第一章试炼都打完了 结果第二次上去就没了 能不能把服务器弄稳定点在开服吗 我进度都没了 补偿能不能把进度弄回去？ 还是就给几个铃铛？/还是希望以后不要犯这种错误 毕竟真挺吓人的
﻿玄之,3E+00,1小时43分钟,闪退之类的问题先不提，抽卡......算了各人喜好吧最不喜欢的就是强制培养芭蕉.....你介绍功能就介绍呗还强制去点他
﻿我想看看,4E+00,,听你们说抽卡概率感人我不知道是不是我太欧了，一个德光，一个ur狗子，一个葵，虽然我被回档一次，但是问题不大，总体来说还是挺好的
﻿岁晚落安倾,1E+00,,之前的评价删掉了。打脸了刚刚评价完切回去游戏，提示我重新登录登录了以后我瞬间从10级变成了5级，刚抽的ur没了，剧情也回到了第一章什么情况？？？连好友也变回了一个不是说服务器ok了吗？服了修改为一星了，什么时候我的回档解决了再改五星吧。
﻿点点,5E+00,,5.1也太惨了，我个人没有出现回档的问题玩的好好的，我要赞的是画风啊，画风我超喜欢的！！！黑长直的男孩子完美戳中了我的爱好我就为了他玩的。然后就是前二十连有ssr掉率还不错啊，那些说掉率不好的你要是自己非就别怪概率啊，yys，四个野男之类的都没玩过吗自己什么手气不清楚吗运气不行怪概率，然后就是很多充值东西没了抽卡的ur没了这事的确不好，毕竟抽卡运气好抽到东西了高高兴兴正炼级呢你个回档全没了这谁开心练级得到的那些东西没了这个真的都很火大毕竟你们游戏不能快进也不能跳过虽然可以自动但耗费的时间并没有回来。希望维修之后可以给这些玩家一个良好的交代和游戏体验。对了还有希望那些内测玩家不要和全平台的混为一谈内测的福利不可能还在存在我也玩过内测虽然就一次，但是你在做什么春秋大梦呢醒醒啊妹妹，人家不挣钱的免费给你玩呢？
﻿战争女神,5E+00,46分钟,咳咳，首次抽卡就给我ur，我也不知道是剧情杀还是什么，冲这个ur给个五星玩法还行，儿童式消消乐画风满分，动作不说很好看，至少让人看了不觉得尴尬Q 版画面有点蜜汁幼稚，不过期待了这么久给我个ur也是很不错啦
﻿郑先生。,1E+00,2小时51分钟,20抽出了ur，立马掉线回档，再抽就抽不到了，抽到一个ssr，然后又回档，然后又抽，出了3个ssr，然后又给我回档了，而且最后这次回档，道具都没返还！！！！不能再抽了
﻿方小斌,3E+00,3小时1分钟,妈耶我傻了，这个剧情真的很迷，第一关的副本要跟着新手指引来，结果要上阵仨，我又只有俩，这tm怎么破😳
﻿人生公司没休假队长,1E+00,,子安武人没法抽到？就是个npc？还有竟然泡温泉还要买浴衣，SSR的角色和SR和R的角色都有重复？继承还得单买个符？要不是冲立花慎之介我才不玩。什么时候子安武人能抽什么时候改评分。顺便，底下评论那人收了多少钱？
﻿霁停,3E+00,32分钟,一开始还挺期待的，内测的时候玩了一会，感观还不错。但是我新手教程过了三次exm????反复闪退打扰了
﻿柏拉图のUtopia,1E+00,,"美工赶不上几年前的yys,玩法丰富度不及cq肝和氪倒是不落下乘角色没多少，撕去新游标签冷静下来，会发现立绘属实尬吹。但除去立绘和cv能说的也属实没有。开服bug一大堆。对不起，打扰了。"
﻿幼稚青年ᝰじざシ,5E+00,,我是开服后10小时玩的，所以没有经历过你们说的回档，个人感觉游戏非常不错，只不过是因为回档的小失误导致官方把一副好牌打烂的
﻿熊多多,2E+00,,我真的跪下咯 被重置两次 担惊受怕 昨天维护前30选择抽 选了一个自己还蛮喜欢的ssr 今天死都不出那张ssr 我特么20保底还出个一样的ssr 真的气晕了
﻿乌鸦礼葬,1E+00,,又炸了？看完剧情点战斗的一瞬间告诉我网络连接不上？wifi流量都上不去其他任何应用都没这个问题，所以是炸了还是又维护了？都过了一天了你们还没好？这游戏是不是把我月铃铛卡掉了？第一大章打完一个月铃铛没有是怎么回事？
﻿迁安执念,2E+00,,这尼玛 两次回档了 你在跟我开玩笑吗 真是醉了 我损失的经验 还有UR人物怎么办 出现这种情况 官方是怎么想的 玩游戏这么多年 这个情况我还真是第一次遇到 真让我心寒
﻿袁甫奇,3E+00,20分钟,立绘很好看，声优也不错，但我又不是来看动画片的，克鲁赛德模式毫无新意，氪点满满，战斗界面不精致，已卸载
﻿丸子maruuu,2E+00,2小时11分钟,你们这游戏的掉率对吗？？我特么的氪了八百了，就一个ur两个ssr？？？？
﻿白无垢,1E+00,,看了pv感觉这个游戏全是女孩子，虽然现在女孩子喜欢秀气俊美的古风男孩，但是你这个立绘给人娘里娘气的感觉，至于像什么游戏我就不说了，执剑之刻四个字出来的一瞬间我还以为点进了toukenranbu国服
﻿掉率认真的么？,3E+00,7小时50分钟,第一次遇到这种游戏。。。级数，卡分分钟回到解放前。。。。改下先3星观望下。撇开bug不谈，人物立绘很好看。
﻿牵梦,1E+00,36分钟,不说别的，蓬莱玉还分付费和免费？ 就好比我痒痒鼠成就拿的勾玉不能抽卡，必须得充钱的勾玉才能什么弱智操作
﻿欣.,2E+00,,不是我说哈！回档第一次我忍了！第二次又来！我抽的卡没了不说，我充值的礼包也没了！我打上17花了几个小时，结果回到15级。你们就不能停服？修好了在来？一直回档心态都蹦了。已经没有心力在玩下去了。
﻿在你心中我是谁,3E+00,,没公测前看这游戏挺好玩，画风和游戏机制都挺吸引我，所以今天早上才早起来玩，可你给我闪退我就忍不住了，你说让我回档再刷剧情我可以理解，但才抽个ssr和ur出来你就给我回档，这我就忍不了，有问题不早点解决，现在来破坏我们玩家的心态，你说这怎么玩？
﻿雨落倾城夏未凉,2E+00,44分钟,问题太多了服务器没修之前新手指导少了个R修了之后没有了SR两星不能再多了
﻿老板你的瓜包甜吗,5E+00,,18:30，官方终于打算维护，不管后续问题怎么样，先为那些坚持不懈鼓励官方维护的伙伴们鼓个掌吧。下面开始怼人模式🙃。1，官方。不管是为了追求业绩还是什么的，回档这个问题从中午到现在，官方一直不关服维护，这个解决了那个又出了问题，说句实话态度不算非常好。不过参照第一句，愿意关服了那你就还算是有的救，嗯，阿官加油吧。2，玩家。玩家当然指的就是那些带节奏的了。感觉大部分的人都遇到了回档这个问题，我也回档了四五次。不能说不生气，但是看到不少的人重复的在别人的疑问贴里复制粘贴说【自己账号被回档了官方态度太差恶意诈骗】…？你节奏带的这么好你怎么不去开飞机？就放了个角色截图说你被恶意诈骗？充值记录呢？没有证据我还怀疑你恶意诽谤呢。关于回档炸服之类的问题。你是第一次玩游戏吗？游戏开区炸服这种事情好几年前就有了好嘛？知道这事的我怀疑你一直刷就是在哗众取宠，不知道这事的话也希望冷静点别被带节奏，退游戏看看电视剧什么的放松等官方回复吧。毕竟林子大了什么样的鸟都有。还真没看到几个欧皇氪佬在那儿逼逼的，反而到处都是某些白嫖玩家或者所谓的偷渡的非酋。🙃不小心钻了官方卡池概率的空子，然后又是ur又是双黄的，结果官方发现问题打算解决。这些人一看我‘辛辛苦苦’到手的卡没了，官方连偷渡的机会都不给我？这是什么垃圾官方给他差评算了！不行我自己的卡没了别人也不能舒坦吧？在别人帖子里带节奏啊，拉个讨论组问候官方啊，给所有为官方说话的人点个踩啊什么的。幼稚是幼稚，但是还真挺有效对吧？然后所过之处一片节奏。:)估计要是有人看到这儿就得骂我“你这么会说话那看来你肯定是抽到好的卡了？那看来你就是正义的小卫士了？”哎还别说，我还真的是抽到好卡了行叭？我ur光国还在永测服躺着我能不开心？嘛~要是你承认你就是故意挑事，那我承认自己是个正义小卫士也不是不可以，毕竟作为杀毒软件我也挺骄傲的。(⋈◍＞◡＜◍)
﻿草履虫大贤者,5E+00,,深夜发现预抽卡的角色返还了！！太高兴了我的小琉胡，还以为永远见不到你了(´;︵;`)看在琉胡的份上我决定原谅官方———————————————————————————维护了，再观望一下期待了这么久的游戏真的不忍心就这么放弃———————————————————————————预约抽卡的角色也没了？？？我之前一天不落地登录抽卡是为了什么？？？———————————————————————————期待了好久的游戏，永测服也玩了很久，结果公测很失望。UI变丑，画质蜜汁低清不说，还给我回档了？？我刚抽的光国没了？？不知道会不会影响预约抽卡的获取(´;︵;`)
﻿司,3E+00,,心情很复杂本来玩的蛮开心的，结果重登陆8级变5级，镇守之地变成一次没打要教学，主线24星变12星，你，你这(:3▓▒，是从叠纸借的纸叠服务器吗，我已经反映给微信客服了，如果进度回不来我就不玩了……不是什么大损失就是体感很糟糕
﻿✘花木汀,2E+00,2分钟,两星好评.很棒的游戏.可能是我没有游戏天赋的原因.玩不下去了.
﻿Healer#,3E+00,51分钟,？？是我的原因还是游戏本身进游戏抽了保底的 但是后来退出后就显示没有那个ssr了  邮件也变成没有领过的
﻿Royce,1E+00,1小时53分钟,你游怎么肥四？？还带回档的？？？我肝完主线退出游戏没几分钟再上特么给我回档了？？EXM？？？？？？？我头一次遇见游戏自动给你回档的啊
﻿晓,1E+00,,我就不说抄袭了，一打开刀乱的感觉扑面而来。。剧情还没创新。 欺负刀乱不是2d吗？
﻿Me- 俊杰,1E+00,,一直预约的游戏，信心满满的去试玩，2级领了东西，开始单抽  加命运之轮一共3个SSR ，然后打副本，掉线，竟然还回到了一级的时候，我抽的东西呢？真***搞笑。你以为我会乱说？  用的QQ登录。希望你们能有点良知。
﻿帅到自然醒,3E+00,,游戏刚试玩，玩法和流畅度还是不错的。这个游戏第一次就抽到了不错的人物，（对于我这个非酋酋长来说简直感动到哭泣X﹏X）打三颗星主要是因为，游戏人物感觉做的不够精致，甚至觉得人物脸和眼睛有点略微畸形（可能是我吹毛求疵了）😂
﻿折苓,4E+00,,请问为什么这么容易断线？你游升级体力居然不会回满，可能是我见识短浅，真的闻所未闻回档回得我看见你游就生气补偿二十连还可以吧，先三星观察一下明天服务器----10号补偿的二十连只出了一个重复ssr，苦而且确实有退还被回掉的卡可是当时我被回掉的是探幽，结果补了一张葵给我，我也不知道咋回事一星扣在体力机制
﻿手撕面包包包包,2E+00,5小时19分钟,我很暴躁我是服了的 分享就闪退 然后不算分享过 那我分享个🐔儿？？？？？？？？毛病？？？？？？？
﻿墨汐,2E+00,,游戏让人玩的有点枯燥，技能一直在点，可能是我不太爱这类游戏吧
﻿黑奢METALLCK（招一手代,1E+00,,玩的很无聊，直接克鲁赛德战记，yys的混合体，没啥新意，平衡很差，游戏技能设定比较呆，也就花几个娘炮男忽悠女人一波钱的游戏，男同志还是请撤退，很无聊的游戏
﻿(´-ι_-｀),3E+00,4小时12分钟,"掉率真的低，我佛了，话说为什么同一个角色会有N,R,SR,SSR几种啊，感觉贼怪"
﻿明绛,4E+00,56分钟,是好游戏，以前玩过类似的消块游戏，每个角色不同的技能可以有各种不同的战斗搭配，但是吧，请扣程序小哥哥10个鸡腿！这掉线之后回档过分了……
﻿立鹤,3E+00,,浪费了一个下午，这是我见过最抠门的游戏，爆率还感人，晒卡的都是狗拖！分割线更新之后110抽无ur，谢谢您嘞弃坑前拼了一把，一次十连两个ur虽然是一样的
﻿麻吉,4E+00,,没什么兴趣，但是之前随手预约过就玩了一下啊都挺好，可能是我玩的晚没遇见土豆服务器玩法挺不错，立绘也不错，嗯没了就是没有玩的欲望，所以扣一星
﻿曦影,5E+00,5小时19分钟,bug已除，吞掉的卡也给了，游戏本身还是蛮好的，只要以后尽量别再出问题就可以了，暂时五星观望一下，只要不回档就不改了。另外团子实在是不够用的，希望能减少一点恢复时间。
﻿手机用户30110578,1E+00,,果断是垃圾游戏。刚开始玩十连抽了两个ssr。宿命一个。一共三个。接个电话掉线直接回档。再抽。9R一个SR牛批。看来跟腾讯挂钩的游戏基本都是垃圾。恶心东西。再见(ー_ー)!!能没星一分都不想给辣鸡🐔呸(*｀へ´*)
﻿清炒酸辣粉,5E+00,,游戏刚刚开始，就出现了这样的情况，作为一个受害者，刚开始的时候也是很怒的，毕竟花了钱，抽了卡，却最后什么都没有了，心态瞬间崩溃。但是想想后来阿官的处理态度还是不错的，给了补偿的同时，客服也积极的作出了表态，虽然这样一来二去，耽误了游戏的进度的同时，也给游戏体验带来了不好的影响，但是反过来想想，可能还是自己对游戏的期望太高了，游戏的很多元素都吸引着我，很喜欢这样的女性向游戏，希望减少这样的失误吧，给游戏打个补丁，加油挽回吧，支持~~~
﻿猎寻,2E+00,4小时40分钟,我真服了 你们能不能停服维修一下？？把我光国探幽还给我（。
﻿人工智能二狗姬,3E+00,,游戏比之前内测时丰满了不少，氪金内容也是，完全就是不氪跟不上，微氪吓得慌~一开始一队还好，等你要再培养其他小队的时候那个素材量，那个铜币量，人民币都追不上😂，真的就像生活一样方方面面都要钱，泡澡都要穿衣服。。。
﻿五色,2E+00,1小时33分钟,不知道说什么 微信服过新手教程过了3次 一次一次又一次的回档？？？？
﻿七爷一枝花,2E+00,,我佛了，等半天改了个什么??新手任务还是两个人物，怎么点都没反应。只是把原先的绿毛变成了和尚！一开服就出大问题，真不明白官方是怎么准备的。
﻿堇张堇张韦险韦险,1E+00,,开服前9分开服后4分，十分真实。宣传图上只有看似精美的立绘，还有烂大街的声优集群，战斗画面是万万不敢拿出来丢人的，可想而知的结局。国产游戏这种高度流水线的生产方式什么时候是个头呢？
﻿猫柚,5E+00,,加了几个好友刷了几个本升了个境界，切出去回了个微信回来显示连接失败，重登之后又双叒叕回档，绝了´_>`暑假新游基本都玩了也没这么离谱的啊，人一般刚开服都是炸服登不上，回档好几次这个还真是第一次见………………………………………………………………回档回的这么严重怎么才能让人消气？300玉＋3铃铛？……………………………………………………………二十连，邮箱还送（还？）了我一只鸨羽，我失忆了（虽然鸨羽已经两只了）
﻿辉瑞,1E+00,1小时17分钟,牛逼，反档不说，氪金的东西全没了，补偿就给500免费蓬莱玉，你们牛逼，几百块钱就当打水漂了
﻿妖怪大人,1E+00,2小时11分钟,嗯呢，掉线确实很流弊，维护好了等级掉3级角色卡少十张，羁绊从10级掉到6级仓库空一半，真是好游戏hhhhh
﻿SWY,4E+00,47分钟,四星观望开服当天炸服已经习惯了玩了大概半小时左右感觉还不错希望能快点维护好吧加油刚进入的页面错乱什么时候修复呀...
﻿叶,2E+00,4小时3分钟,还在回档，把我ssr光国搞没了练度也没了没搞好还是不要发出来了吧
﻿可能吧,4E+00,5小时2分钟,内测玩家，刚抽出个ur你就给我回档？还好意思说已经解决了？？？无话可说档又回来了，，什么鬼我说过，二十反向洗地，再来一次终生水军
﻿15295577227,3E+00,,玩了一会儿就删了……画女硬说男系列……假如你说只想给女性玩家玩的话那我也没啥好说的了……立绘都还行，战斗系统照抄克鲁赛德战记。这样的话……我为啥不去玩克鲁赛德战记呢，像素风，抽奖良心。
﻿挽弓陨阳,2E+00,1小时42分钟,礼包码哪里用啊，不能搞简单点吗，什么口令乱七八糟的
﻿腐烂了花期的凶手。,1E+00,1小时22分钟,糟透了 上游戏三次回档两次 厉害 本来看评价很高准备好好玩的 这也太浪费感情了 卸载告辞
﻿巭孬嫑昊,4E+00,21分钟,一星给客服，一星给处理速度，两星给游戏。客服态度不错，处理的也算及时，希望能继续保持。
﻿载迟风雨,5E+00,,台服玩家，但也会尝试一下国服吧乙女深坑，此前便是剑君玩家了，所以对剑刻，总饱含着更多的期待。首先世界观方面，在同剑君一样的江户时代架空背景下，时间轴较剑君略微提前一些。但总体来说两条故事是同时发生，所以在碰到故事相交的地方，如御前试合争夺数珠丸。这样的地方，总让我心头一颤，产生深深的熟悉感。剑君是小人物的故事，而剑刻的角色，大多是历史名人。这在故事情节推动方面，也起到了不同的作用。但就剑刻剧情而言，关卡式的设定还是让剧情不那么连贯，而且为了让更多的卡面角色出场，总会有些略显单薄的剧情出现。当然，这是游戏性质不同导致的诟病，不必做过多评价。希望到了后续剧情，能有所改善吧。玩法方面，战斗模式略奇怪，全交给自动战斗解决了。喜欢出游做饭等一系列家园日常玩法，很生活化很可爱鸭。日课对我而言，稍微有点肝了。希望国服在这方面能有所改善。抽卡方面，剑刻的大良心就是不同等级的卡面立绘质量却都一样，这点太棒了。早期的话其实等级差距影响不大，且游戏里送的铃铛（不知道叫什么了）还挺多的，掉率也还行，亚洲人第一发十连就有ssr，还有开服任务获得的ssr芭蕉。有些不太满意的地方也提一下吧。首先，就台服而言，亲友系统极其难用。纸鹤不能一键互送，一个一个的点。而且感觉点完了亲友那一栏还是有提示，你需要退出去再点亲友栏。便惊奇的发现，又出现了隐藏在众人中没有互送的亲友。大概要折返三四次，才算是完全互送成功。其次，配音只配一点点真的好奇怪，大概对话就稍微嗯嗯啊啊几句，有时候还文不对题，有些地方直接用剑君背景也略出戏。最后，还是祝剑刻国服大卖!磨砺几年，终于来了!顺便表白家光大人我爱您!!!但家光大人依旧不可攻略甚至立绘也没变cv居然反而没有了，德川女孩有点难过。
﻿悉时,5E+00,,好的20连无事发生真香很气练度不返还媲美阴阳师的氪度媲美刀剑乱舞的游戏性媲美纯白魔女的运营媲美彩票的概率媲美葛朗台的维护补偿如果不是立绘我连一星都不想给第一天就想把钱圈回来巴菲特都不敢这么做梦
﻿世界冠军张佳乐,3E+00,34分钟,又tm回档，我佛了，肝的东西和抽的东西没了，再抽一次全是保底。还有氪了7元的东西也没了，到现在也没还我
﻿非要我皮断腿你们才乐意？,4E+00,1小时16分钟,我原本有账号了，然后十一点四十被卡退出去，然后我的账号就没了！让我重新走了一遍新手教程，之前的数据也没了，我预抽卡的卡都领第一个账号上了，求求您快点修复bug吧
﻿弓长二刀流,2E+00,,两星。一星给芭蕉，一星给探幽。这个掉率落差真的不是一般的大。。。一次十连一个sr九个r我真的担当不起。。。内测的时候真的不是这样啊。。。还有预抽卡。。。我的妈，每天都抽我都没见过ur。。。你这掉率真的一言难尽。。。算了算了。。
﻿阿岚,5E+00,3小时35分钟,一测开始玩的老咸鱼了，马上要公测感动得痛哭流涕。从高三开始玩，因为一眼相中岚雪入坑!玩过的最适合养生的游戏，高三上课也在玩(别学我2333)，几乎是可以挂机的，但是也因为学业一直不能爆肝。没想到会一直等到现在，真的不仅仅因为游戏本身吸引我，群里的小伙伴和官方人都超好，交流很舒服，即使游戏里面没有很多社交但是玩得好开心认识了好多小伙伴太幸运了!!一测到现在改变了好多，希望执剑之刻越来越好，岚雪衣服越来越好看，做饭大成功概率越来越高155551让我心甘情愿肝+氪的游戏很难遇上，i了，预备疯狂安利!不过这个游戏时长没记录到很懵逼……
﻿魔法少女榨菜子,2E+00,2小时57分钟,我刚刚抽到一个ur。。。退出去一下回来就没了。。。。。让我怎么玩。。
﻿林,2E+00,4小时26分钟,这服务器犹如隔壁某暖刚刚开服那个时候的服务器就不能调好服务器再放出吗
﻿Zizizi,3E+00,,刚刚两个号60多抽两个贺间太极 这啥概率，其中QQ区玩到现在一共四个ssr 有三个贺间，不知道怎么想的，就这概率?你学克鲁学像点行不行，还分等级，你分职业不行吗?每个人都有用不行吗?这屌贺间有什么用推图都推不过。
﻿ただのホモ,2E+00,,ui和live2d搞得廉价实在喜欢不起来，小人也不是很可爱，玩了一下午实在找不到感觉就A了，看在子安配美男的份上给两分吧
﻿TiAmo,2E+00,5小时29分钟,刚玩就维护了？？玩着就服务器重连？？现在一直进不去游戏是几个意思？？
﻿墨瞳凉薄笑倾城灬,2E+00,3小时8分钟,更新完以后消失的角色还是没有回来真心无语。。。
﻿小透明,4E+00,3小时19分钟,回档问题修复了，改下评论。补偿20抽无事发生😞️，升级不回饭团，各种地方都需要饭团，饭团不够用……
﻿喋喋不休雨宫莲丶,1E+00,3小时36分钟,依然在回档，我二花德川没了，出现了个一级探幽，我踏马都打试炼本了你给我个一级？？？搞笑呢吧？？
﻿眼不见心却念°,1E+00,1小时18分钟,游戏问题太多。而且都是无法改正的错误。我看是要凉了。我先撤了
﻿月满西楼,2E+00,2小时55分钟,维护完几分钟，之前的角色直接没了？什么骚操作。。。
﻿呆°,4E+00,33分钟,立绘还是很不错的，游戏方式也挺新颖，就是剧情太多了，有点啰嗦有点无聊不想看，还有就是竟然全是小哥哥，我想要小姐姐啊，好多小哥哥啊，感觉女生比较喜欢这游戏吧。
﻿刄娗趀,1E+00,,游戏体验很差好不容易抽到自己喜欢的就回档了半小时白打然后预抽卡tap没啥提示差评
﻿一笑很倾城,5E+00,,微氪玩家，手痒小氪了下，主要是买了月卡，感觉月卡礼包还是不错的。至于其他的氪金礼包，后续继续观望吧，最主要是牵起的时候需要花钱的地方并不是非常的多，总体感觉中上吧。游戏的风格还是不错的，立绘很优美，画质给力，忙着升级，后面再欣赏吧。体力感觉慢慢的有点不支，商店的体力已经买了两个，后面就涨价了，所以先停手，虽然是免费的蓬莱玉，但是感觉后面还有用的到的地方。游戏的肝度不是很大，比较亲民，基本刚玩，日课什么的一下子就完成了，游戏玩法也算是比较多样化了，基本是一直有出新的玩法，羁绊不是很了解，感觉需要慢慢研究。个人感觉新手教程有点麻烦，虽然能够跳过，但是还是有点心慌的看完了，ps:剧情听好，世界观有一种是曾相似但是又不一样的赶脚。卡牌类游戏能这样已经很不错了，希望能保持住，先给个好评拉下分，大家加油耶!!!
﻿硞﹄玍ι℡,3E+00,,开服操作很迷女主太丑了，眼间距真的不正常补偿很抠门但画风很对口，小人还看的过去还是看好这个游戏的，官方多送点温暖，评分回暖也只是时间问题三星观望
﻿卫冕之冠,5E+00,2小时56分钟,昨天开服开始玩的，被回了一次档，导致我昨天都不敢玩，但是这补偿挺到位的，爆率也挺高的了，现在有两ur了，这差不多是我最欧的游戏了。。
﻿南无,2E+00,,下了QQ版本的，闪退就算了，你把我游戏数据退回刚开始玩的时候我TM？？？我充了钱的啊？然后？？退回到刚开始玩然后我充的钱不见了几个意思？？联系客服还要加微信？？那么麻烦？！一星给画面，一星给创意，就这样吧
﻿零花兔,4E+00,,四星先继续观望，看到了很多游戏的影子，个人看法类似刀剑的立绘和语音玩法，痒痒鼠的玩法，零境交错的同人物不同品质的养成玩法，cq的一些游戏机制，甚至有些万象物语的影子（可能是错觉）可惜的是继承暂时只能通过道具继承一种途径。。。。。
